fid,plot_number,grvi_count,grvi_sum,grvi_mean,grvi_stdev,grvi_min,grvi_max
"143","308",193,1667.50500440598,8.63992230262163,1.05395452461426,6.47109365463257,11.0078430175781
"144","408",190,1606.27166604996,8.45406140026293,0.802791441716513,6.66064310073853,10.0868549346924
"145","508",189,1899.49341106415,10.0502296881701,1.05913839395057,7.39286708831787,12.1410284042358
"146","608",189,1952.20523023605,10.3291282023072,0.802606952781527,7.578773021698,12.2664728164673
"147","708",189,1820.48547172546,9.63219826309769,1.05758302059305,6.6597375869751,11.524299621582
"148","808",189,1966.05798101425,10.4024231799696,1.04751681656577,7.51685190200806,12.0504426956177
"149","908",189,1878.24987888336,9.93783004700192,0.657849125065245,8.62553215026855,11.589183807373
"150","1008",189,1989.51722812653,10.5265461805636,1.0659094980975,8.27772426605225,12.8852758407593
"151","1108",191,1986.28834056854,10.3994153956468,1.10443916342079,8.49242877960205,13.453649520874
"152","1208",195,1907.45269012451,9.78180866730519,0.611071669670949,8.02521419525146,11.0871629714966
"153","1308",199,1968.65802288055,9.89275388382188,0.579779172915685,8.46444702148438,11.1081447601318
"154","1408",198,1749.30894565582,8.8348936649284,0.749929482912348,7.17035675048828,10.8520994186401
"155","1508",199,1946.37346553802,9.78077118360816,1.10661334240208,7.18767786026001,11.7961435317993
"156","1608",198,1877.45648288727,9.4821034489256,0.760421513117378,7.61670017242432,11.2035627365112
"157","1708",198,1882.04070091248,9.50525606521452,1.06223861911015,7.41190052032471,11.7034893035889
"158","1808",199,1899.23804283142,9.54390976297196,0.886927014759791,7.44598197937012,11.3911838531494
"159","1908",195,1527.33389806747,7.83248152855115,1.1336444880956,5.44437074661255,9.67345333099365
"160","2008",192,936.330332994461,4.87672048434615,0.670666760699525,3.50160622596741,6.94988870620728
"161","109",189,1592.26556301117,8.42468551857762,0.891169195977541,5.3530535697937,9.91968154907227
"162","209",189,1782.13856267929,9.42930456444069,0.905964173711233,6.78252792358398,11.0356149673462
"163","309",189,1680.67488336563,8.89245970034725,1.03732443014287,6.25536823272705,10.6880655288696
"164","409",189,1615.41584587097,8.5471737876771,0.835928243247708,6.5267481803894,10.1471347808838
"165","509",189,1648.59742116928,8.72273767814434,0.564780967758639,7.32199764251709,10.1209726333618
"166","609",189,1756.06144094467,9.29133037536863,0.469041252254624,7.81165409088135,10.3785943984985
"167","709",190,1624.6731467247,8.55091129855106,0.551029412995078,7.21995210647583,10.2136850357056
"168","809",193,1936.62543487549,10.0343286781113,0.88512785027367,7.43222284317017,12.0917177200317
"169","909",197,1993.13761997223,10.1174498475748,0.668033723904095,8.26367092132568,11.6217231750488
"170","1009",198,1980.94879722595,10.0047919051816,0.983202429860042,7.13279438018799,12.3868570327759
"171","1109",199,1965.74533224106,9.8781172474425,0.6371309807743,7.66301584243774,11.1381101608276
"172","1209",199,1994.81601381302,10.0242010744373,0.956293781357354,7.43907928466797,11.7591648101807
"173","1309",198,1924.64333438873,9.72042088075118,0.714905254925225,7.3336296081543,11.2745208740234
"174","1409",199,1884.73023843765,9.47100622330479,0.873364255336872,6.96483659744263,10.8055849075317
"175","1509",196,1970.40861129761,10.0531051596817,1.06342138950422,6.9567756652832,11.5612297058105
"176","1609",193,1873.13664913177,9.70537123902474,0.936806711309833,6.26573038101196,12.2034091949463
"177","1709",190,1870.4878616333,9.84467295596474,0.989812477588957,7.55651998519897,11.8438320159912
"178","1809",189,1838.79166936874,9.72905645168647,0.986825632476266,7.02299880981445,11.7747344970703
"179","1909",189,1465.17592096329,7.7522535500703,1.11456221755523,5.62262964248657,9.66963577270508
"180","2009",189,932.57043337822,4.93423509723926,1.02726630759074,2.25306844711304,7.49309349060059
"181","110",189,1546.1246972084,8.18055395348362,0.89302735212658,5.9398341178894,9.57656955718994
"182","210",189,1492.72537183762,7.89801784041067,0.551379398226731,6.7068567276001,9.15782642364502
"183","310",189,1674.87647199631,8.86178027511274,0.964022809230038,6.67971897125244,10.6994104385376
"184","410",192,1867.82419586182,9.72825102011363,1.01525072619484,7.45722007751465,11.58118724823
"185","510",196,1727.00951576233,8.81127303960372,0.817548816287088,7.33344030380249,10.6404666900635
"186","610",199,1983.46598911285,9.96716577443645,0.641927059060217,8.19572067260742,11.4194765090942
"187","710",198,1921.51995563507,9.70464624058117,0.684840277757119,7.19669437408447,11.0164957046509
"188","810",199,1965.75987911224,9.87819034729771,0.766777900572421,7.67623949050903,11.239408493042
"189","910",198,2022.15059947968,10.2128818155539,0.773965158285439,8.79387664794922,12.045241355896
"190","1010",199,1821.25495147705,9.15203493204548,0.922999266991168,7.15594100952148,11.8287916183472
"191","1110",199,1948.26845359802,9.79029373667348,0.75610625199263,7.87960910797119,11.5462484359741
"192","1210",195,1953.87151908875,10.0198539440448,0.944667232482546,7.88342952728271,12.1288251876831
"193","1310",192,1827.18225002289,9.51657421886921,1.02578869079536,7.31670761108398,11.4521236419678
"194","1410",190,1949.50632476807,10.2605596040425,0.901271424641004,8.25443840026855,12.0472650527954
"195","1510",189,1909.70450162888,10.104256622375,0.833925680297172,7.61821317672729,11.8718376159668
"196","1610",189,1950.77032756805,10.3215361246987,1.17077626053321,7.5074348449707,12.8770713806152
"197","1710",189,1939.89789867401,10.2640100458942,0.92841807081506,8.42841720581055,12.9083909988403
"198","1810",189,1663.7262597084,8.80278444290161,1.18238314560402,6.15182113647461,12.423020362854
"199","1910",189,1640.82057332993,8.68159033507897,0.973563848775696,6.4079270362854,11.0946483612061
"200","2010",190,851.217035055161,4.48008965818506,1.05156472813009,2.41697597503662,7.16343116760254
